heading,authors,subtitles,timeframe,languages,ratings,ratings_count,prices
What's Your Dream?,Written by: Simon Squibb,Find Your Passion. Love Your Work. Build a Richer Life.,Length: 7 hrs and 56 mins,Language: English,,Not rated yet,₹957.00
Atomic Habits (Hindi Edition),Written by: James Clear,"Chote Badlav, Asadharan Parinam",Length: 8 hrs and 9 mins,Language: Hindi,5 out of 5 stars,1 rating,₹419.00
Providence,Written by: TurtleMe,"The Beginning After the End, Book 11",Length: 27 hrs and 38 mins,Language: English,4.5 out of 5 stars,3 ratings,"₹2,010.00"
Forge Your Future,Written by: A. P. J. Kalam,,Length: 5 hrs and 37 mins,Language: English,4.5 out of 5 stars,42 ratings,
The Art of Influencing People,Written by: Virender Kapoor,,Length: 38 mins,Language: English,4 out of 5 stars,121 ratings,
The Quick and Easy Way to Effective Speaking,Written by: Dale Carnegie,,Length: 6 hrs and 39 mins,Language: English,4.5 out of 5 stars,79 ratings,
You Are the Best Wife,Written by: Ajay K. Pandey,A true love story,Length: 7 hrs and 29 mins,Language: English,4.5 out of 5 stars,480 ratings,
Meri Gita,Written by: Devdutt Pattanaik,,Length: 7 hrs and 39 mins,Language: Hindi,4.5 out of 5 stars,324 ratings,₹69.00
Art of Seduction,Written by: Robert Greene,An Indispensible Primer on the Ultimate Form of Power,Length: 22 hrs and 51 mins,Language: English,4.5 out of 5 stars,154 ratings,₹820.00
The Blue Umbrella,Written by: Ruskin Bond,,Length: 51 mins,Language: English,4.5 out of 5 stars,457 ratings,
41 Anmol Kahaniya [41 Priceless Stories],Written by: Premchand,,Length: 15 hrs and 28 mins,Language: Hindi,4.5 out of 5 stars,51 ratings,₹69.00
My Experiments with Truth,Written by: Mohandas K. Gandhi,,Length: 19 hrs and 11 mins,Language: English,4.5 out of 5 stars,75 ratings,
Rich Dad Poor Dad (Hindi Edition),Written by: Robert Kiyosaki,,Length: 11 hrs and 5 mins,Language: Hindi,5 out of 5 stars,1 rating,₹489.00
Why I Am an Atheist and Other Works,Written by: Bhagat Singh,,Length: 3 hrs,Language: English,4.5 out of 5 stars,374 ratings,
Defiance of the Fall 14,"Written by: TheFirstDefier, JF Brink",A LitRPG Adventure,Length: 21 hrs and 54 mins,Language: English,,Not rated yet,"₹1,003.00"
Pride and Prejudice,Written by: Jane Austen,,Length: 11 hrs and 35 mins,Language: English,5 out of 5 stars,524 ratings,₹836.00
21 Shreshth Kahaniyan Prem Chand (Hindi Edition),Written by: Munshi Premchand,,Length: 7 hrs and 44 mins,Language: Hindi,5 out of 5 stars,184 ratings,
Complete Chanakya Neeti,Written by: R.P. Jain,,Length: 4 hrs,Language: English,4.5 out of 5 stars,317 ratings,
Shiv Puran (Hindi Edition),Written by: Dr. Vinay,,Length: 7 hrs and 54 mins,Language: Hindi,5 out of 5 stars,219 ratings,
Garuda Puran,Written by: Dr. Vinay,,Length: 6 hrs and 8 mins,Language: Hindi,4.5 out of 5 stars,118 ratings,
Yumi and the Nightmare Painter (Dramatized Adaptation),Written by: Brandon Sanderson,"A Cosmere Novel (Secret Projects, Book 3)",Length: 11 hrs and 12 mins,Language: English,,Not rated yet,₹961.00
Satya Ke Sath Mere Prayog [My Experiment with Truth],Written by: M. K. Gandhi,Meri Atmakatha [My Autobiography],Length: 22 hrs and 54 mins,Language: Hindi,4.5 out of 5 stars,252 ratings,
Sahaj Yog,Written by: OSHO,,Length: 37 hrs and 10 mins,Language: Hindi,5 out of 5 stars,77 ratings,₹284.00
Gunahon ka Devta (Hindi Edition),"Written by: धर्मवीर भारती, Dharmveer Bharti",,Length: 9 hrs and 15 mins,Language: Hindi,4.5 out of 5 stars,6 ratings,₹210.00
Karna: The King of Anga (Hindi Edition),Written by: Kevin Missal,"Karna, Book 1",Length: 15 hrs and 27 mins,Language: Hindi,4 out of 5 stars,4 ratings,₹69.00
Panchatantra (Hindi Edition),Written by: Vishnu Sharma,,Length: 5 hrs and 41 mins,Language: Hindi,5 out of 5 stars,93 ratings,
How to Talk to Anyone (Hindi Edition),Written by: Leil Lowndes,92 Little Tricks for Big Success,Length: 10 hrs and 19 mins,Language: Hindi,4.5 out of 5 stars,3 ratings,₹69.00
The Power of Habit (Hindi Edition),Written by: Charles Duhigg,"Why We Do What We Do, and How to Change",Length: 13 hrs and 23 mins,Language: Hindi,4.5 out of 5 stars,67 ratings,₹403.00
If Truth Be Told,Written by: Om Swami,A Monk's Memoir,Length: 8 hrs and 56 mins,Language: English,5 out of 5 stars,35 ratings,₹69.00
Twisted Hate,Written by: Ana Huang,"Twisted, Book 3",Length: 15 hrs,Language: English,4.5 out of 5 stars,161 ratings,₹703.00
Babylon Ka Sabse Ameer Aadami [The Richest Man in Babylon],Written by: George S. Clason,,Length: 4 hrs and 46 mins,Language: Hindi,4.5 out of 5 stars,179 ratings,₹69.00
